number,title,state,labels,milestone,user,assignee,assignees,created_at,updated_at,closed_at,body
42,Timeline,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:41Z,2024-03-16T22:13:41Z,,Make sure you have a realistic timeline for your development plan. Each task should have a specific deadline.
41,Budget,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:38Z,2024-03-16T22:13:38Z,,"Ensure that all the services and tools you plan to use fit within your budget, and don't forget to account for ongoing costs like hosting and domain registration."
40,Legal Considerations,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:35Z,2024-03-16T22:13:35Z,,"Make sure you're aware of any legal requirements for your website, such as GDPR for European users."
39,Localization,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:31Z,2024-03-16T22:13:31Z,,"If you plan to serve users in different regions or who speak different languages, you might need to consider localization of your website's content."
38,User Feedback,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:29Z,2024-03-16T22:13:29Z,,"Plan for a way to gather user feedback. This could be as simple as a feedback form on your website, or more complex like user testing sessions."
37,Performance Monitoring,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:26Z,2024-03-16T22:13:26Z,,Consider using tools to monitor the performance of your website. This can help you catch and fix any issues that might slow down your site or make it less responsive.
36,Maintenance and Updates,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:23Z,2024-03-16T22:13:23Z,,"Websites aren't a 'set it and forget it' type of project. You'll need to plan for regular updates, both to the content and to the underlying software, to keep everything running smoothly and securely."
35,Backup and Recovery,open,documentation,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:20Z,2024-03-16T22:13:20Z,,Plan for data backup and recovery in case of any unforeseen circumstances. This includes both your website's codebase and any user data you might be storing.
34,User Experience (UX),open,"enhancement,UX",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:17Z,2024-03-16T22:13:17Z,,"Consider the user experience. This includes things like loading times, intuitive navigation, and clear feedback to the user."
33,Browser Compatibility,open,"enhancement,browser compatibility",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:14Z,2024-03-16T22:13:14Z,,Test your application in all major browsers to ensure it works consistently.
32,Responsiveness,open,"enhancement,responsiveness",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:11Z,2024-03-16T22:13:11Z,,"Ensure your application looks good on all devices, from large desktop monitors to small mobile screens."
31,Security,open,"enhancement,security",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:08Z,2024-03-16T22:13:08Z,,"Make sure that your application is secure. This includes things like sanitizing user input to prevent XSS attacks, using HTTPS, and keeping dependencies up to date."
30,Version Control,open,"enhancement,version control",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:05Z,2024-03-16T22:13:05Z,,"If you're not already using a version control system like Git, start using it. It will help you keep track of changes, experiment without fear, and collaborate more easily with others."
29,Code Review,open,"enhancement,code review",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:13:02Z,2024-03-16T22:13:02Z,,"Implement a code review process. This can help catch bugs, ensure consistent code style, and improve the overall quality of your code."
28,Documentation,open,"documentation,enhancement",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:59Z,2024-03-16T22:12:59Z,,"Ensure that your code is well-documented. This includes inline comments, README files, and any other necessary documentation."
27,Continuous Integration/Continuous Deployment (CI/CD),open,"enhancement,devops",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:56Z,2024-03-16T22:12:56Z,,Set up a CI/CD pipeline to automate testing and deployment.
26,Error Handling,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:53Z,2024-03-16T22:12:53Z,,Plan for how you will handle and display errors to the user.
25,Accessibility,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:50Z,2024-03-16T22:12:50Z,,"Ensure the app is accessible to all users by setting up proper semantic HTML, ensuring good contrast ratios, adding alt text to images, etc."
24,Performance,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:47Z,2024-03-16T22:12:47Z,,"Ensure the app performs well by setting up code splitting, optimizing images, or other performance enhancements."
23,Styling,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:44Z,2024-03-16T22:12:44Z,,"Decide on a styling solution, which could be traditional CSS, a preprocessor like SASS, or a CSS-in-JS solution."
22,Testing,open,"enhancement,testing",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:41Z,2024-03-16T22:12:41Z,,"Set up testing for the components using a combination of unit tests, integration tests, and end-to-end tests."
21,Routing,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:38Z,2024-03-16T22:12:38Z,,Set up routing for the multi-page application using a library like React Router.
20,State Management,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:35Z,2024-03-16T22:12:35Z,,Decide on a state management solution based on the complexity of the app.
19,Test and Deploy Website,open,"enhancement,testing",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:32Z,2024-03-16T22:12:32Z,,"Conduct final testing, fix any bugs, and deploy the website."
18,Set Up Hosting Environment,open,"enhancement,devops",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:29Z,2024-03-16T22:12:29Z,,Set up and configure the hosting environment on AWS S3 and CloudFront.
17,Integrate External Services,open,"enhancement,backend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:26Z,2024-03-16T22:12:26Z,,"Integrate any necessary external services such as Stripe, Calendly, Formspree/AWS Lambda, Strapi, Contentful, Google Analytics, SEO Tools, and SonarCloud."
16,Create Testimonial Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:23Z,2024-03-16T22:12:23Z,,Create a Testimonial component that displays customer testimonials.
15,Create About Section Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:20Z,2024-03-16T22:12:20Z,,Create an About Section component that provides information about the company.
14,Create Contact Form Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:17Z,2024-03-16T22:12:17Z,,Create a Contact Form component for visitors to get in touch.
13,Create Portfolio Item Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:13Z,2024-03-16T22:12:13Z,,Create a Portfolio Item component that represents a single portfolio item.
12,Create Services List Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:11Z,2024-03-16T22:12:11Z,,Create a Services List component that displays a list of services offered.
11,Create Hero Section Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:07Z,2024-03-16T22:12:07Z,,Create a reusable Hero section component for landing pages.
10,Create Footer Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:05Z,2024-03-16T22:12:05Z,,Create a reusable Footer component.
9,Create Header Component,open,"enhancement,frontend",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:12:02Z,2024-03-16T22:12:02Z,,Create a reusable Header component that includes the main navigation.
8,Example Issue,open,"help wanted,invalid",,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T22:09:29Z,2024-03-16T22:09:29Z,,"Conduct final testing, fix any bugs, and deploy the website."
7,Add environments,closed,,,thisisbramiller,,,2024-03-16T20:11:55Z,2024-03-16T21:21:56Z,2024-03-16T21:21:53Z,
6,"Add UI components, configure auth, and update styles",closed,,,thisisbramiller,,,2024-03-16T18:46:49Z,2024-03-16T19:35:31Z,2024-03-16T19:35:30Z,"This pull request includes the following changes:

- Added UI components from Figma and Amplify UI Library

- Configured Cognito authentication

- Updated NavBarHeader children

- Added storage configurations

- Refactored UI components and imported dependencies, installed styles and fonts"
5,"Update UI components, configure Cognito auth, and add storage configurations",closed,,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-16T18:32:23Z,2024-03-16T18:46:02Z,2024-03-16T18:46:02Z,"This pull request includes the following changes:

- Imported UI components from Figma and Amplify UI Library

- Configured Cognito authentication

- Updated NavBarHeader children

- Added storage configurations"
4,Update project setup and add AWS Amplify integration,closed,,,thisisbramiller,,,2024-03-13T04:11:12Z,2024-03-13T04:12:05Z,2024-03-13T04:11:21Z,"This pull request includes the following changes:

- Installed and initialized Amplify on a new desktop

- Reverted the removal of base create-react-app scaffolding

- Generated scaffolding with Vite, React, and TypeScript

- Installed Amplify and initialized it

- Added logos

- Added Sonar config

- Merged pull request #3 from thisisbramiller/feature/switch-stack

These changes update the project setup and add AWS Amplify integration."
3,Update project setup and add AWS Amplify integration,closed,,,thisisbramiller,thisisbramiller,thisisbramiller,2024-03-13T03:38:38Z,2024-03-13T03:52:37Z,2024-03-13T03:52:32Z,"This pull request includes the following changes:

- Created React app using Vite, React, and TypeScript

- Installed and initialized AWS Amplify

- Updated favicon and logos

- Removed base create-react-app scaffolding

- Added logo

- Updated project configuration files

- Updated index files

- Updated CSS styles

Please review and merge these changes."
2,feat: :lipstick: update favicon and logos,closed,,,thisisbramiller,,,2023-09-14T14:40:45Z,2023-09-14T14:51:01Z,2023-09-14T14:51:01Z,
1,Create React App and Initialize AWS Amplify,closed,,,thisisbramiller,thisisbramiller,thisisbramiller,2023-09-13T23:41:16Z,2023-09-14T01:46:52Z,2023-09-14T01:46:52Z,
